"Company Name","Open Date","Close Date","Size (Rs Cr)","QIB (x)","NII (x)","Retail (x)","Total (x)","Applications"
"Creative Graphics Solutions India Limited","Mar 28, 2024","Apr 04, 2024","54.40","98.79","472.85","144.63","201.86","1,92,354 (144.63x)"
"Aluwind Architectural Limited","Mar 28, 2024","Apr 04, 2024","29.70","","5.23","10.71","8.19","11,195 (10.71x)"
"K2 Infragen Limited","Mar 28, 2024","Apr 03, 2024","40.54","23.37","113.98","40.70","51.47","37,486 (40.70x)"
"Jay Kailash Namkeen Limited","Mar 28, 2024","Apr 03, 2024","11.93","2.32","68.93","50.99","40.02","32,073 (66.13x)"
"Yash Optics & Lens Limited","Mar 27, 2024","Apr 03, 2024","53.15","19.88","85.27","32.46","42.17","45,703 (32.46x)"
"TAC Infosec Limited","Mar 27, 2024","Apr 02, 2024","29.99","141.29","768.89","433.80","422.03","3,40,097 (433.80x)"
"Radiowalla Network Limited","Mar 27, 2024","Apr 02, 2024","14.25","87.96","491.86","353.98","307.54","1,36,637 (353.98x)"
"GConnect Logitech and Supply Chain Limited","Mar 26, 2024","Mar 28, 2024","5.60","","42.90","71.74","57.38","21,562 (97.57x)"
"Aspire & Innovative Advertising Limited","Mar 26, 2024","Mar 28, 2024","21.97","5.21","25.60","16.39","15.17","11,099 (16.39x)"
"Blue Pebble Limited","Mar 26, 2024","Mar 28, 2024","18.14","21.77","97.31","58.40","56.32","26,221 (58.40x)"
"Vruddhi Engineering Works Limited","Mar 26, 2024","Mar 28, 2024","4.76","1.05","28.14","20.10","12.67","3,063 (25.53x)"
"Trust Fintech Limited","Mar 26, 2024","Mar 28, 2024","63.45","65.38","244.48","75.10","108.63","1,30,666 (75.10x)"
"Naman In-Store (India) Limited","Mar 22, 2024","Mar 27, 2024","25.35","109.75","528.12","328.80","309.03","1,94,647 (328.80x)"
"Vishwas Agri Seeds Limited","Mar 21, 2024","Mar 26, 2024","25.80","","12.80","11.57","12.21","10,300 (11.57x)"
"Omfurn India Limited","Mar 20, 2024","Mar 22, 2024","27.00","1.00","3.02","6.33","3.57","3,158 (6.33x)"
"Chatha Foods Limited","Mar 19, 2024","Mar 21, 2024","34.00","8.54","44.52","14.60","19.28","18,695 (18.86x)"
"Enser Communications Limited","Mar 15, 2024","Mar 19, 2024","16.17","","3.64","10.92","7.29","5,983 (5.18x)"
"Enfuse Solutions Limited","Mar 15, 2024","Mar 19, 2024","22.44","99.97","953.22","248.42","357.31","1,60,729 (248.42x)"
