"Issuer Company","Open Date","Close Date","Listing Date","Lead Manager","Market Maker","Issue Price (Rs)","Issue Size (Rs Cr.)","Lot Size","Exchange","Compare"
"ITCONS E-Solutions Limited IPO","Feb 28, 2023","Mar 02, 2023","Mar 13, 2023","Finshore","Nikunj Stock Brokers","51.00","8.67","2,000","BSE SME",""
"ResGen Limited IPO","Feb 28, 2023","Mar 02, 2023","Mar 13, 2023","Gretex Corporate Services","Gretex Share Broking","47.00","28.20","3,000","BSE SME",""
"Amanaya Ventures Limited IPO","Feb 24, 2023","Feb 28, 2023","Mar 09, 2023","First Overseas Capital","Nikunj Stock Brokers","23.00","2.76","6,000","BSE SME",""
"SVJ Enterprises Limited IPO","Feb 23, 2023","Feb 28, 2023","Mar 09, 2023","First Overseas Capital","Nikunj Stock Brokers","36.00","6.12","3,000","BSE SME",""
"Srivasavi Adhesive Tapes Limited IPO","Feb 23, 2023","Feb 28, 2023","Mar 09, 2023","Shreni Shares","Shreni Shares","41.00","15.50","3,000","NSE SME",""
"Patron Exim Limited IPO","Feb 21, 2023","Feb 24, 2023","Mar 06, 2023","Interactive Financial","Sunflower Broking","27.00","16.69","4,000","BSE SME",""
"Macfos Limited IPO","Feb 17, 2023","Feb 21, 2023","Mar 01, 2023","Hem Securities","Hem Securities","102.00","23.74","1,200","BSE SME",""
"Sealmatic India Limited IPO","Feb 17, 2023","Feb 21, 2023","Mar 01, 2023","Isk Advisors","Sunflower Broking","225.00","56.24","600","BSE SME",""
"Viaz Tyres Limited IPO","Feb 16, 2023","Feb 21, 2023","Mar 01, 2023","Beeline Capital","Sunflower Broking","62.00","20.00","2,000","NSE SME",""
"Agarwal Float Glass India Limited IPO","Feb 10, 2023","Feb 15, 2023","Feb 23, 2023","GYR Capital Advisors","Smc Global Securities","42.00","9.20","3,000","NSE SME",""
"Indong Tea Company Limited IPO","Feb 09, 2023","Feb 13, 2023","Feb 21, 2023","Finshore","Nikunj Stock Brokers","26.00","13.01","4,000","BSE SME",""
"Lead Reclaim and Rubber Products Limited IPO","Feb 09, 2023","Feb 13, 2023","Feb 21, 2023","Fedex Securities","Svcm Securities","25.00","4.88","6,000","NSE SME",""
"Shera Energy Limited IPO","Feb 07, 2023","Feb 09, 2023","Feb 17, 2023","Holani Consultants","Holani Consultants","57.00","35.20","2,000","NSE SME",""
"Earthstahl & Alloys Limited IPO","Jan 27, 2023","Jan 31, 2023","Feb 08, 2023","Hem Securities","Hem Securities","40.00","12.96","3,000","BSE SME",""
"Gayatri Rubbers and Chemicals Limited IPO","Jan 25, 2023","Jan 30, 2023","Feb 07, 2023","Khambatta Securities","","30.00","4.58","4,000","NSE SME",""
"Transvoy Logistics India Limited IPO","Jan 20, 2023","Jan 24, 2023","Feb 02, 2023","Beeline Capital","Sunflower Broking","71.00","5.11","1,600","BSE SME",""
"DHARNI Capital Services Limited IPO","Jan 18, 2023","Jan 20, 2023","Jan 31, 2023","Srujan Alpha Capital Advisors","Sunflower Broking","20.00","10.74","6,000","BSE SME",""
"Aristo Bio-Tech and Lifescience Limited IPO","Jan 16, 2023","Jan 19, 2023","Jan 30, 2023","Beeline Capital","Sunflower Broking","72.00","13.05","1,600","NSE SME",""
"Ducol Organics And Colours Limited IPO","Jan 09, 2023","Jan 11, 2023","Jan 19, 2023","First Overseas Capital","Bhh Securities","78.00","31.51","1,600","NSE SME",""
"Eastern Logica Infoway Limited IPO","Jan 05, 2023","Jan 09, 2023","Jan 17, 2023","Oneview Corporate Advisors","Nikunj Stock Brokers","225.00","16.94","600","BSE SME",""
"Chaman Metallics Limited IPO","Jan 04, 2023","Jan 06, 2023","Jan 16, 2023","Hem Securities","Hem Finlease","38.00","24.21","3,000","NSE SME",""
